tiempo,H1,H2,H3,H4,V1,V2,Gamma_1,Gamma_2,modo,ref_H1,ref_H2,Ki,Kd,Kp,Kw,Filtro
9.214,41.65349007206307,42.42638155371631,26.11096477040643,30.996260677287943,0.0,0.0,0.25,0.25,Manual,0.0,0.0,0.0,0.0,0.0,0.0,0
9.729,41.56747913562886,42.38381975838724,25.78799060045816,30.74879477590456,0.0,0.0,0.25,0.25,Manual,0.0,0.0,0.0,0.0,0.0,0.0,0
10.226,41.479260368330124,42.34010338769629,25.464764869337166,30.500582085572866,0.0,0.0,0.25,0.25,Manual,0.0,0.0,0.0,0.0,0.0,0.0,0
10.664,41.419244057422354,42.3103278267056,25.249288228821804,30.334799354460575,0.0,0.0,0.25,0.25,Manual,0.0,0.0,0.0,0.0,0.0,0.0,0
11.276,41.333023979973134,42.26750412939257,24.94568766192723,30.10078389742125,0.0,0.0,0.25,0.25,Manual,0.0,0.0,0.0,0.0,0.0,0.0,0
11.74,41.24096630513896,42.22172058242257,24.628912366503997,29.856065303662252,0.0,0.0,0.25,0.25,Manual,0.0,0.0,0.0,0.0,0.0,0.0,0
12.249,41.197435621579906,42.2000500686203,24.481660217111,29.742114998283697,0.0,0.0,0.25,0.25,Manual,0.0,0.0,0.0,0.0,0.0,0.0,0
12.742,41.08574540813375,42.14438782724889,24.110954084018825,29.454692855608705,0.0,0.0,0.25,0.25,Manual,0.0,0.0,0.0,0.0,0.0,0.0,0
13.228,41.01393119705606,42.10855347588946,23.877779227968546,29.273491815088068,0.0,0.0,0.25,0.25,Manual,0.0,0.0,0.0,0.0,0.0,0.0,0
13.726,40.91753474298804,42.060399324546374,23.570846036473263,29.03447859662099,0.0,0.0,0.25,0.25,Manual,0.0,0.0,0.0,0.0,0.0,0.0,0
14.21,40.848249567483215,42.02575136478922,23.354350722257173,28.865547312912913,0.0,0.0,0.25,0.25,Manual,0.0,0.0,0.0,0.0,0.0,0.0,0
14.658,40.74391894161076,41.97352096512857,23.03454810560497,28.615476307342888,0.0,0.0,0.25,0.25,Manual,0.0,0.0,0.0,0.0,0.0,0.0,0
15.155,40.65179250634955,41.92734468810824,22.7580838065941,28.398776399272922,0.0,0.0,0.25,0.25,Manual,0.0,0.0,0.0,0.0,0.0,0.0,0
15.666,40.55190284830903,41.877219834668495,22.464314747274017,28.167976387022044,0.0,0.0,0.25,0.25,Manual,0.0,0.0,0.0,0.0,0.0,0.0,0
16.205,40.469900228421544,41.836027084126165,22.227616546967848,27.98160504141076,0.0,0.0,0.25,0.25,Manual,0.0,0.0,0.0,0.0,0.0,0.0,0
16.669,40.3668856952114,41.784224769408006,21.935735563531946,27.751271852302775,0.0,0.0,0.25,0.25,Manual,0.0,0.0,0.0,0.0,0.0,0.0,0
17.177,40.26842536638464,41.73465701162208,21.662218472245463,27.53490756955286,0.0,0.0,0.25,0.25,Manual,0.0,0.0,0.0,0.0,0.0,0.0,0
17.783,40.1748390312886,41.68749366829689,21.40698537222953,27.33254197002132,0.0,0.0,0.25,0.25,Manual,0.0,0.0,0.0,0.0,0.0,0.0,0
18.134,40.094585212863066,41.647011756519206,21.19166004867865,27.161462857476206,0.0,0.0,0.25,0.25,Manual,0.0,0.0,0.0,0.0,0.0,0.0,0
18.639,39.99645363096792,41.597465612776716,20.932658746767,26.955244649429105,0.0,0.0,0.25,0.25,Manual,0.0,0.0,0.0,0.0,0.0,0.0,0
19.154,39.89664859871442,41.547023250048674,20.67391019250925,26.74874177593577,0.0,0.0,0.25,0.25,Manual,0.0,0.0,0.0,0.0,0.0,0.0,0
