tiempo,H1,H2,H3,H4,V1,V2,Gamma_1,Gamma_2,modo,ref_H1,ref_H2,Ki,Kd,Kp,Kw,Filtro
3428.241,39.99941523864778,39.998648897259976,0.8423729214127699,9.637177684794203,0.6810133008365045,0.32587132331345403,0.75,0.75,Automático,40.0,40.0,0.8,0.6,1.0,1.0,0.5
3428.748,39.999452910068136,39.99868739315074,0.8398578478452919,9.609405421652939,0.6812037067788099,0.32637443396243515,0.75,0.75,Automático,40.0,40.0,0.8,0.6,1.0,1.0,0.5
3429.258,39.99945562723918,39.998613933260515,0.8360747421244122,9.565881408114747,0.6814459191674921,0.32708619120831534,0.75,0.75,Automático,40.0,40.0,0.8,0.6,1.0,1.0,0.5
3429.718,39.99945721441424,39.99856101107675,0.8334120715121808,9.53335395160113,0.6816513030406008,0.32769114642233027,0.75,0.75,Automático,40.0,40.0,0.8,0.6,1.0,1.0,0.5
3430.217,39.99949917671108,39.99863297377962,0.831912973081339,9.51375982468487,0.6817871240848427,0.32807312528661,0.75,0.75,Automático,40.0,40.0,0.8,0.6,1.0,1.0,0.5
3430.745,39.99954384952552,39.998635979701675,0.8285074120009134,9.46751646637816,0.6819289496917232,0.3286703586789951,0.75,0.75,Automático,40.0,40.0,0.8,0.6,1.0,1.0,0.5
3431.28,39.99955279643224,39.99859456445241,0.8262599119439735,9.435014519467634,0.6821291774889878,0.32934064778084005,0.75,0.75,Automático,40.0,40.0,0.8,0.6,1.0,1.0,0.5
3431.734,39.99960864164613,39.99868682709946,0.8240399167622657,9.400058833829947,0.6821893959607409,0.329650094584605,0.75,0.65,Automático,40.0,40.0,0.8,0.6,1.0,1.0,0.5
3432.248,39.99983552485855,39.98430787781942,0.8386539716743646,9.37308076867494,0.6819261296665737,0.3589177563492499,0.75,0.45,Automático,40.0,40.0,0.8,0.6,1.0,1.0,0.5
3432.81,40.000640135270324,39.9482608929273,0.8825408919199813,9.349481110340339,0.6805062062975235,0.4316007742566934,0.75,0.45,Automático,40.0,40.0,0.8,0.6,1.0,1.0,0.5
3433.267,40.004314346905495,39.89927689924749,0.9821755854108818,9.306887274424183,0.6731723829395952,0.5343952570644314,0.75,0.4,Automático,40.0,40.0,0.8,0.6,1.0,1.0,0.5
3433.749,40.007241239648245,39.88000006032487,1.1270028215963446,9.271310674506548,0.6674207939925498,0.5853807061878443,0.75,0.4,Automático,40.0,40.0,0.8,0.6,1.0,1.0,0.5
3434.288,40.01024331200327,39.87402315806776,1.2486442161647175,9.243947149474746,0.6601453768800547,0.6327170581041685,0.75,0.4,Automático,40.0,40.0,0.8,0.6,1.0,1.0,0.5
3434.714,40.015176030113636,39.87184897769664,1.3931945233866245,9.212312739262066,0.6482828901658266,0.6721225370130679,0.75,0.4,Automático,40.0,40.0,0.8,0.6,1.0,1.0,0.5
3435.237,40.0191284785736,39.880169943470044,1.568858084718813,9.175736785254157,0.6370126503063065,0.7060700552525921,0.75,0.4,Automático,40.0,40.0,0.8,0.6,1.0,1.0,0.5
3435.732,40.022595547798936,39.89381923474159,1.7414901097701514,9.14016761171375,0.6249461015382664,0.7282105958067416,0.75,0.4,Automático,40.0,40.0,0.8,0.6,1.0,1.0,0.5
3436.224,40.02354481001843,39.907152892584044,1.8658232958946248,9.114601739647366,0.6163641306374928,0.7514179462750866,0.75,0.4,Automático,40.0,40.0,0.8,0.6,1.0,1.0,0.5
3436.841,40.02410975187923,39.933413348392094,2.072902551824695,9.07181525093735,0.6047033652114756,0.751475255622652,0.55,0.4,Automático,40.0,40.0,0.8,0.6,1.0,1.0,0.5
3437.26,39.93306216635293,39.9652452787315,2.2997713696013395,9.099609032338604,0.7833976209407545,0.7208024459031332,0.55,0.4,Automático,40.0,40.0,0.8,0.6,1.0,1.0,0.5
3437.862,39.89772005013931,39.98313918927636,2.435267666436331,9.130180989180703,0.840433477679711,0.7207647313280507,0.55,0.4,Automático,40.0,40.0,0.8,0.6,1.0,1.0,0.5
3438.346,39.89539972454232,40.0070999989323,2.6363525647532176,9.21298238087087,0.8587859605550672,0.6913305118480593,0.55,0.4,Automático,40.0,40.0,0.8,0.6,1.0,1.0,0.5
3438.858,39.90403807838546,40.02139841087524,2.7521041199571337,9.26691077313519,0.8756038395897129,0.6738416720116338,0.55,0.4,Automático,40.0,40.0,0.8,0.6,1.0,1.0,0.5
3439.29,39.93591425477535,40.03937793856953,2.955794325462242,9.37941994748999,0.8446471274605029,0.6398394980195757,0.4,0.4,Automático,40.0,40.0,0.8,0.6,1.0,1.0,0.5
3439.718,39.929501012943085,40.04603279282694,3.062548720501982,9.46428764994981,0.8954394945358316,0.6245884584815259,0.4,0.4,Automático,40.0,40.0,0.8,0.6,1.0,1.0,0.5
3440.267,39.87802765274964,40.049672837341255,3.201689958737878,9.633662923131197,1.0,0.6022312622462072,0.4,0.4,Automático,40.0,40.0,0.8,0.6,1.0,1.0,0.5
