tiempo,H1,H2,H3,H4,V1,V2,Gamma_1,Gamma_2,modo,ref_H1,ref_H2,Ki,Kd,Kp,Kw,Filtro
8.409,41.86846662632774,42.478821581071536,27.325337580469785,31.889173003292626,0.0,0.0,0.6,0.7,Manual,0.0,0.0,0.0,0.0,0.0,0.0,0
8.64,41.730383605667846,42.4108104547387,26.757801796238073,31.457700706912746,0.0,0.0,0.6,0.7,Manual,0.0,0.0,0.0,0.0,0.0,0.0,0
9.083,41.698754062492256,42.395206898609786,26.63131670058354,31.36132151039567,0.0,0.0,0.6,0.7,Manual,0.0,0.0,0.0,0.0,0.0,0.0,0
9.567,41.61261249602187,42.35266640938795,26.293058946946477,31.103177311977486,0.0,0.0,0.6,0.7,Manual,0.0,0.0,0.0,0.0,0.0,0.0,0
10.087,41.5373132594719,42.315428119045144,26.004482777303174,30.882483087409856,0.0,0.0,0.6,0.7,Manual,0.0,0.0,0.0,0.0,0.0,0.0,0
10.582,41.45713246734667,42.27572406982959,25.704077842377114,30.65227968604846,0.0,0.0,0.6,0.7,Manual,0.0,0.0,0.0,0.0,0.0,0.0,0
11.108,41.38251420874663,42.238728180495016,25.430559665286335,30.44226228447056,0.0,0.0,0.6,0.7,Manual,0.0,0.0,0.0,0.0,0.0,0.0,0
11.691,41.290266085446724,42.192931690346946,25.10004746810008,30.187942189609238,0.0,0.0,0.6,0.7,Manual,0.0,0.0,0.0,0.0,0.0,0.0,0
12.096,41.224810617670805,42.16039755643011,24.87039842201371,30.010879415029557,0.0,0.0,0.6,0.7,Manual,0.0,0.0,0.0,0.0,0.0,0.0,0
12.605,41.12189211852138,42.10917958663551,24.51705819610505,29.737871415883696,0.0,0.0,0.6,0.7,Manual,0.0,0.0,0.0,0.0,0.0,0.0,0
13.1,41.03492227425445,42.06584015504921,24.225491511154004,29.512056095587628,0.0,0.0,0.6,0.7,Manual,0.0,0.0,0.0,0.0,0.0,0.0,0
13.592,40.95801483304911,42.027471835574495,23.972748018637116,29.315909056301223,0.0,0.0,0.6,0.7,Manual,0.0,0.0,0.0,0.0,0.0,0.0,0
14.056,40.90445379663735,42.00072736599274,23.7994384425012,29.181190582502396,0.0,0.0,0.6,0.7,Manual,0.0,0.0,0.0,0.0,0.0,0.0,0
